Biomarker,Control,Treatment,Effect size,Effect size,p-value,range
,mL/min/100mL,mL/min/100mL,mL/min/100mL,%,,%
khe,13.1 +/- 4.3,0.8 +/- 0.3,-12.2 +/- 4.0,-93.2 +/- 1.7,0.0006,8.2
kbh,2.1 +/- 0.4,0.7 +/- 0.3,-1.4 +/- 0.4,-64.9 +/- 19.0,0.0003,82.7
