Biomarker,Visit,Start,End,Change,p-value,range
,,mL/min/100mL,mL/min/100mL,%,,%
khe,Control,2.7 +/- 2.1,3.3 +/- 2.6,32.1 +/- 55.6,0.3756,96.7
khe,Treatment,1.2 +/- 0.9,2.5 +/- 2.8,81.9 +/- 80.4,0.184,141.3
