parameter,count,mean,std,min,25%,50%,75%,max
khe effect size (%),6.0,-65.7,8.1,-77.6,-70.5,-64.5,-60.6,-55.9
khe control (mL/min/100cm3),6.0,13.61,3.87,9.19,10.45,14.08,15.46,19.15
khe drug (mL/min/100cm3),6.0,4.77,2.21,2.66,3.27,4.03,5.82,8.45
kbh effect size (%),6.0,-51.5,39.6,-91.7,-82.4,-51.1,-40.9,15.5
kbh control (mL/min/100cm3),6.0,1.74,0.79,0.95,1.23,1.45,2.16,3.01
kbh drug (mL/min/100cm3),6.0,0.74,0.61,0.16,0.27,0.63,1.02,1.74
