Biomarker,Control,Treatment,Effect size,Effect size,p-value,range
,mL/min/100mL,mL/min/100mL,mL/min/100mL,%,,%
khe,2.7 +/- 2.4,1.3 +/- 1.0,-1.4 +/- 1.8,-28.8 +/- 73.2,0.2553,121.4
kbh,1.8 +/- 0.6,1.6 +/- 2.1,-0.2 +/- 1.5,-23.7 +/- 85.8,0.8211,151.6
