Biomarker,Control,Treatment,Effect size,Effect size,p-value,range
,mL/min/100mL,mL/min/100mL,mL/min/100mL,%,,%
khe,15.8 +/- 5.8,3.6 +/- 1.5,-12.3 +/- 4.6,-77.3 +/- 5.9,0.0035,20.6
kbh,1.6 +/- 0.5,0.8 +/- 0.4,-0.8 +/- 0.3,-47.6 +/- 17.6,0.0062,51.7
