parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
r_kbh,T-test,-2.8664910969653845,5,two-sided,0.03513852645988406,[-1.  -0.6],1.1702400899660015,2.704,0.633981460523035
r_khe,T-test,5.868768074177044,5,two-sided,0.002037725428660854,[-0.86 -0.7 ],2.395914533411676,23.131,0.9954228445833808
