parameter,count,mean,std,min,25%,50%,75%,max
khe effect size (%),3.0,-13.5,63.2,-74.7,-45.9,-17.1,17.2,51.4
khe control (mL/min/100cm3),3.0,3.56,2.32,0.88,2.81,4.74,4.9,5.05
khe drug (mL/min/100cm3),3.0,2.24,1.69,1.2,1.27,1.34,2.76,4.19
kbh effect size (%),3.0,197.7,276.8,-71.3,55.8,182.8,332.3,481.7
kbh control (mL/min/100cm3),3.0,1.24,0.69,0.77,0.84,0.92,1.48,2.03
kbh drug (mL/min/100cm3),3.0,3.77,3.08,0.22,2.78,5.34,5.55,5.75
