biomarker,units,value (95%CI)
Cardiac output,L/min,7.6 +/- 0.8
Heart-lung mean transit time,sec,15.0 +/- 5.5
Heart-lung dispersion,%,43.0 +/- 6.0
Organs blood mean transit time,sec,26.0 +/- 5.0
Organs extraction fraction,%,21.0 +/- 5.0
Organs extravascular mean transit time,min,5.2 +/- 2.4
Gut mean transit time,sec,98.0 +/- 80.9
Gut dispersion,%,85.0 +/- 17.0
Liver extracellular volume fraction,%,22.0 +/- 8.0
