Biomarker,Control,Treatment,Effect size,Effect size,p-value,range
,mL/min/100mL,mL/min/100mL,mL/min/100mL,%,,%
khe,2.9 +/- 3.9,4.1 +/- 6.6,1.2 +/- 2.7,6.4 +/- 53.7,0.4669,93.6
kbh,1.6 +/- 2.0,2.6 +/- 1.0,1.0 +/- 1.0,238.2 +/- 350.5,0.1971,588.3
