parameter,count,mean,std,min,25%,50%,75%,max
khe effect size (%),6.0,-15.0,5.0,-20.3,-18.9,-15.5,-13.0,-6.8
khe control (mL/min/100cm3),6.0,21.37,4.49,15.38,17.72,22.68,24.95,25.69
khe drug (mL/min/100cm3),6.0,18.17,4.11,12.83,15.07,18.78,20.52,23.69
kbh effect size (%),6.0,18.2,33.8,-25.6,-6.8,19.2,46.2,56.8
kbh control (mL/min/100cm3),6.0,1.98,0.89,1.03,1.5,1.77,2.18,3.56
kbh drug (mL/min/100cm3),6.0,2.28,0.92,0.89,1.77,2.47,2.7,3.52
